player,team,games_played,per,ts,usg,ws_48,bpm,vorp,season,player_id,min,off_rating,def_rating,nationality,player_origin,seasons_played,composite_score,rank
Cade Cunningham,DET,62.0,17.1,0.546,30.8,0.041,0.3,1.2,2023-24,1630595.0,33.5,109.9,117.8,USA,USA,2,0.6728391347977853,52
Caleb Martin,MIA,60.0,14.8,0.611,16.3,0.139,1.1,1.1,2021-22,1628997.0,22.9,111.8,106.2,USA,USA,3,0.6127095374568376,149
Caleb Martin,MIA,71.0,11.4,0.571,14.4,0.086,-1.2,0.4,2022-23,1628997.0,29.3,110.7,110.7,USA,USA,3,0.5917611739337166,244
Caleb Martin,MIA,64.0,10.8,0.531,17.3,0.066,-2.0,0.0,2023-24,1628997.0,27.4,113.0,111.1,USA,USA,3,0.5921285855613885,222
Cam Reddish,NYK,49.0,12.8,0.543,22.2,0.046,-1.3,0.2,2021-22,1629629.0,20.7,103.2,113.0,USA,USA,2,0.6053236077027431,173
Cam Reddish,POR,40.0,10.6,0.561,17.1,0.046,-3.4,-0.4,2022-23,1629629.0,24.7,108.9,117.8,USA,USA,2,0.6028324823829998,215
Cam Reddish,LAL,48.0,7.7,0.504,12.7,0.03,-3.2,-0.3,2023-24,1629629.0,20.5,109.7,112.5,USA,USA,2,0.558922272663481,271
Cam Thomas,BKN,67.0,11.7,0.519,22.1,0.033,-3.4,-0.4,2021-22,1630560.0,17.6,106.3,112.7,Japan,International,3,0.594046435865762,202
Cam Thomas,BKN,57.0,14.7,0.567,27.8,0.049,-2.7,-0.2,2022-23,1630560.0,16.6,112.1,113.7,Japan,International,3,0.6405228531066969,121
Cam Thomas,BKN,66.0,16.1,0.554,30.5,0.058,-1.2,0.4,2023-24,1630560.0,31.4,111.5,116.7,Japan,International,3,0.6652582428042018,60
Cameron Johnson,PHX,66.0,15.2,0.625,17.5,0.156,2.7,2.1,2021-22,1629661.0,26.2,110.8,104.6,USA,USA,3,0.6246932672947303,109
Cameron Johnson,BKN,42.0,17.1,0.617,20.6,0.142,2.6,1.4,2022-23,1629661.0,28.6,115.3,108.7,USA,USA,3,0.6483829973524047,93
Cameron Johnson,BKN,58.0,14.5,0.582,19.6,0.1,0.4,1.0,2023-24,1629661.0,27.6,111.5,114.9,USA,USA,3,0.6374560164337835,119
Cameron Payne,PHX,58.0,13.8,0.5,24.6,0.073,0.0,0.7,2021-22,1626166.0,22.0,109.1,102.7,USA,USA,3,0.5942723800368588,201
Cameron Payne,PHX,48.0,13.2,0.512,24.8,0.053,-1.2,0.2,2022-23,1626166.0,20.2,115.4,111.4,USA,USA,3,0.6227752950355879,163
Cameron Payne,PHI,78.0,12.8,0.566,19.1,0.089,-1.1,0.3,2023-24,1626166.0,16.7,112.4,113.2,USA,USA,3,0.6185185955933843,168
Caris LeVert,CLE,58.0,15.1,0.525,25.4,0.059,-1.2,0.4,2021-22,1627747.0,30.7,112.7,114.5,USA,USA,3,0.6373540691649698,77
Caris LeVert,CLE,74.0,12.4,0.546,18.7,0.095,-0.2,1.0,2022-23,1627747.0,30.2,113.0,108.5,USA,USA,3,0.6070096826355211,204
Caris LeVert,CLE,68.0,14.6,0.524,23.1,0.088,0.2,1.1,2023-24,1627747.0,28.8,113.9,111.2,USA,USA,3,0.6312069216570668,136
Cedi Osman,CLE,66.0,13.3,0.563,21.1,0.094,0.2,0.8,2021-22,1626224.0,22.1,107.5,109.2,Turkey,International,3,0.6127580257284363,148
Cedi Osman,CLE,77.0,12.0,0.579,18.2,0.103,-0.7,0.5,2022-23,1626224.0,20.1,115.4,108.0,Turkey,International,3,0.6086899444777619,199
Cedi Osman,SAS,72.0,11.2,0.601,15.1,0.071,-2.1,0.0,2023-24,1626224.0,17.6,106.0,119.2,Turkey,International,3,0.6115043716587979,177
Chimezie Metu,SAC,60.0,13.4,0.546,18.5,0.056,-1.5,0.2,2021-22,1629002.0,21.3,106.1,111.8,USA,USA,2,0.5956911379612757,196
Chimezie Metu,SAC,66.0,17.3,0.639,17.6,0.143,-0.1,0.3,2022-23,1629002.0,10.4,113.9,107.3,USA,USA,2,0.6247028032236367,158
Chimezie Metu,DET,51.0,13.3,0.61,16.2,0.085,-1.3,0.2,2023-24,1629002.0,16.8,105.5,112.0,USA,USA,2,0.6018414534186015,200
Chris Boucher,TOR,80.0,17.9,0.57,17.8,0.169,0.1,0.9,2021-22,1628449.0,21.1,111.0,105.7,Saint Lucia,International,2,0.6145810641898983,140
Chris Boucher,TOR,76.0,18.0,0.59,18.0,0.156,-0.1,0.7,2022-23,1628449.0,20.0,110.4,111.6,Saint Lucia,International,2,0.6319882536071129,140
Chris Boucher,TOR,50.0,16.0,0.625,17.3,0.119,-1.7,0.1,2023-24,1628449.0,14.1,116.0,113.6,Saint Lucia,International,2,0.6343499028580576,126
Chris Duarte,IND,55.0,12.3,0.537,21.1,0.029,-2.3,-0.1,2021-22,1630537.0,28.0,107.6,109.7,Dominican Republic,International,2,0.5902541869628836,209
Chris Duarte,IND,46.0,8.6,0.496,19.0,-0.003,-4.5,-0.6,2022-23,1630537.0,19.5,109.4,115.6,Dominican Republic,International,2,0.5805455050872438,258
