player,team,games_played,per,ts,usg,ws_48,bpm,vorp,season,player_id,min,off_rating,def_rating,nationality,player_origin,seasons_played,composite_score
Cade Cunningham,DET,64,13.1,0.504,27.5,-0.011,-1.6,0.2,2021-22,1630595,32.6,106.9,113.1,USA,USA,2,0.3789
Cade Cunningham,DET,62,17.1,0.546,30.8,0.041,0.3,1.2,2023-24,1630595,33.5,109.9,117.8,USA,USA,2,0.5258
Caleb Martin,MIA,60,14.8,0.611,16.3,0.139,1.1,1.1,2021-22,1628997,22.9,111.8,106.2,USA,USA,3,0.3769
Caleb Martin,MIA,71,11.4,0.571,14.4,0.086,-1.2,0.4,2022-23,1628997,29.3,110.7,110.7,USA,USA,3,0.3706
Caleb Martin,MIA,64,10.8,0.531,17.3,0.066,-2.0,0.0,2023-24,1628997,27.4,113.0,111.1,USA,USA,3,0.3679
Cam Reddish,NYK,49,12.8,0.543,22.2,0.046,-1.3,0.2,2021-22,1629629,20.7,103.2,113.0,USA,USA,2,0.3747
Cam Reddish,LAL,48,7.7,0.504,12.7,0.03,-3.2,-0.3,2023-24,1629629,20.5,109.7,112.5,USA,USA,2,0.3181
Cam Thomas,BKN,67,11.7,0.519,22.1,0.033,-3.4,-0.4,2021-22,1630560,17.6,106.3,112.7,Japan,International,3,0.3558
Cam Thomas,BKN,57,14.7,0.567,27.8,0.049,-2.7,-0.2,2022-23,1630560,16.6,112.1,113.7,Japan,International,3,0.4521
Cam Thomas,BKN,66,16.1,0.554,30.5,0.058,-1.2,0.4,2023-24,1630560,31.4,111.5,116.7,Japan,International,3,0.5114
Cameron Johnson,PHX,66,15.2,0.625,17.5,0.156,2.7,2.1,2021-22,1629661,26.2,110.8,104.6,USA,USA,3,0.3797
Cameron Johnson,BKN,42,17.1,0.617,20.6,0.142,2.6,1.4,2022-23,1629661,28.6,115.3,108.7,USA,USA,3,0.4597
Cameron Johnson,BKN,58,14.5,0.582,19.6,0.1,0.4,1.0,2023-24,1629661,27.6,111.5,114.9,USA,USA,3,0.4774
Cameron Payne,PHX,58,13.8,0.5,24.6,0.073,0.0,0.7,2021-22,1626166,22.0,109.1,102.7,USA,USA,3,0.2744
Cameron Payne,PHX,48,13.2,0.512,24.8,0.053,-1.2,0.2,2022-23,1626166,20.2,115.4,111.4,USA,USA,3,0.4098
Cameron Payne,PHI,78,12.8,0.566,19.1,0.089,-1.1,0.3,2023-24,1626166,16.7,112.4,113.2,USA,USA,3,0.4318
Caris LeVert,CLE,58,15.1,0.525,25.4,0.059,-1.2,0.4,2021-22,1627747,30.7,112.7,114.5,USA,USA,3,0.4553
Caris LeVert,CLE,74,12.4,0.546,18.7,0.095,-0.2,1.0,2022-23,1627747,30.2,113.0,108.5,USA,USA,3,0.3708
