player,nationality,player_origin,avg_per,avg_ts,avg_usg,avg_ws_48,avg_bpm,avg_vorp,avg_off_rating,avg_def_rating,composite_score
DeAndre Hunter,USA,USA,11.610745060169366,0.5682996582974298,20.039702495914426,0.051815276333382856,-3.1949431733769122,-0.5731967761105333,115.37409003119893,115.78015153766158,0.45126307847499236
DeAnthony Melton,USA,USA,13.788650338991959,0.549887974982919,18.53375466442424,0.1002255216271614,1.3354601355967834,1.6,113.97588952541126,110.01305513218058,0.3850563900730448
Dejounte Murray,USA,USA,18.847275833057132,0.5432129362873825,26.055747903016087,0.1036078831297963,2.5757820666445705,2.971302552074038,114.76510210845677,115.52807536394462,0.5502461660966753
Delon Wright,USA,USA,14.648907223733872,0.5623586997864185,11.771225021211857,0.12731639310687848,2.237250943561836,1.3966997279030984,112.29681968460164,109.7451241990696,0.36294090089174647
DeMar DeRozan,USA,USA,21.096089717670008,0.5885063387484243,28.394867159812577,0.15119546654615512,2.092115215374736,2.8341697785600464,112.95533382489357,112.50920248317202,0.5353921514699292
Deni Avdija,Israel,International,12.660287379260796,0.557662952023629,17.834747345733216,0.06031317953221043,-1.6053181128761873,0.21565897661052127,110.7035219924962,113.58960645006785,0.3895344413209416
Dennis Schroder,Germany,International,12.64611655100295,0.5452248629464145,20.434268149697374,0.06835719491713409,-2.175343030072567,-0.08648477358430778,111.69656811483982,112.21003897708907,0.3744102187997097
Dennis Smith Jr,USA,USA,12.378807947019867,0.4892781456953642,17.64326710816777,0.05673951434878587,-1.5942604856512144,0.07306843267108165,106.32582781456954,107.8008830022075,0.22667353068047205
Derrick Jones Jr,USA,USA,12.134818899985095,0.6057135191533761,14.097257415412134,0.095041138768818,-1.2993143538530334,0.2,113.59862870770608,111.56415263079445,0.3871491443954507
Derrick White,USA,USA,15.726360196581565,0.5888933878426768,18.71136867742356,0.14616632598327026,2.405142144710709,2.5919279780802853,117.45084590962465,107.87664941503937,0.41908436358097056
Desmond Bane,USA,USA,18.331448037201255,0.5958581882412314,25.500367686817345,0.1390563786453264,2.9911502829746586,2.3733138675606504,113.57070040733932,109.6465520348942,0.4655423978542324
Devin Booker,USA,USA,21.71529014152509,0.5958444431032922,31.13208606173994,0.1655105163100878,3.7213796433205584,3.2216451914662483,118.78126678535864,111.56092821147288,0.5842021790041185
Devin Vassell,USA,USA,14.589518034900095,0.5604173688859182,21.371576233558518,0.07931350409395813,-0.23135040939581292,0.9149196724833497,109.74929221073738,112.56411639731684,0.40526054164496794
Devonte Graham,USA,USA,12.252923332284004,0.5285277165669805,18.582460006295968,0.07308694159059038,-0.6559225023609879,0.5382308330710014,109.90899751023095,112.09400165984603,0.3586564896630703
Dillon Brooks,Canada,International,9.399999999999999,0.521579958076949,19.693894110487523,0.046034890797214144,-3.749563865034823,-0.9997092433565488,113.50029075664345,111.057414294408,0.31934201645577026
Domantas Sabonis,Lithuania,International,22.949458530075958,0.6478724337918291,21.911714740299733,0.19839881441182508,5.59770837610347,5.098439745432149,115.86960839663313,114.36548963251897,0.6389848866854861
Donovan Mitchell,USA,USA,22.22276485204427,0.5941217227618403,32.168162035991266,0.16284498155259391,5.471756644830961,4.200950229651381,116.62638807318724,110.31706648595738,0.567631174569854
Donte DiVincenzo,USA,USA,13.94892377961747,0.5789383385669427,18.607176705680846,0.10544544675992008,1.3380759349129319,1.8848644019411933,114.32756494433342,112.32953468455611,0.4458453059428816
Dorian FinneySmith,USA,USA,10.78873753344685,0.5622631963026028,13.44081731938701,0.08320578934565799,-0.8761858428606177,0.7625881780588665,113.44028216978838,112.41172464120653,0.3778875571237699
Doug McDermott,USA,USA,11.296529968454259,0.5914479495268138,18.765615141955834,0.04803154574132493,-2.862145110410095,-0.255205047318612,110.43753943217665,116.32460567823344,0.4374411734216687
Draymond Green,USA,USA,13.414964644294253,0.5879474743133961,14.097056295659648,0.1118100558659218,1.889065124819315,1.6519357737234834,114.41530257452045,107.97477634097746,0.3542241062729955
Drew Eubanks,USA,USA,16.23265847493681,0.6511447733927277,14.259678670637403,0.1312922245301434,-0.7470557321254285,0.43775369753997856,108.5454966340499,115.3214269626367,0.4754171447045318
Duncan Robinson,USA,USA,10.840953674362456,0.5832163875056587,18.263271465218047,0.08312599969820432,-1.3764599366229064,0.48077561490870674,110.61391278104725,110.04842311754943,0.34292754898302136
Dwight Powell,Canada,International,16.934433179723502,0.7308278341013824,13.372387096774192,0.19613695852534563,-0.041419354838709656,0.851705069124424,115.97942857142858,111.76556682027649,0.5171443496534394
Dyson Daniels,Australia,International,10.61026366131581,0.517708392248191,12.16570739416119,0.08475971055477002,-0.4423022540131415,0.509136654745072,111.5690884138734,109.52853697080596,0.29106012584772445
Eric Gordon,USA,USA,11.548621313551658,0.5927644110729147,17.597097883119236,0.05355947168445811,-1.9524624570291298,0.039565768047765515,111.70580785236113,114.1173946082866,0.40970772143128686
