player,headshot_url,flag_url
Daniel Gafford,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/daniel_gafford.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Daniel Theis,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/daniel_theis.png,https://www.worldometers.info//img/flags/small/tn_gm-flag.gif
Danilo Gallinari,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/danilo_gallinari.png,https://www.worldometers.info//img/flags/small/tn_it-flag.gif
Danny Green,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/danny_green.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Danuel House Jr,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/danuel_house_jr.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Dario Saric,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/dario_saric.png,https://www.worldometers.info//img/flags/small/tn_hr-flag.gif
Darius Bazley,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/darius_bazley.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
Darius Garland,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/darius_garland.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
David Duke Jr,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/david_duke_jr.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
David Roddy,https://raw.githubusercontent.com/jung-hyung-lee/nba-global-trends/refs/heads/main/visualisation/circular_headshots/david_roddy.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif
