player,player_url,flag_url,circular_player_url
Dominick Barlow,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1631230.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\dominick_barlow.png
Donovan Mitchell,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628378.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\donovan_mitchell.png
Donte DiVincenzo,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1628978.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\donte_divincenzo.png
Dorian FinneySmith,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1627827.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\dorian_finneysmith.png
Doug McDermott,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203926.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\doug_mcdermott.png
Draymond Green,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203110.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\draymond_green.png
Drew Eubanks,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629234.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\drew_eubanks.png
Dru Smith,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1630696.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\dru_smith.png
Duncan Robinson,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629130.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\duncan_robinson.png
Dwight Powell,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/203939.png,https://www.worldometers.info//img/flags/small/tn_ca-flag.gif,./visualisation/circular_headshots\dwight_powell.png
Dylan Windler,https://ak-static.cms.nba.com/wp-content/uploads/headshots/nba/latest/260x190/1629685.png,https://www.worldometers.info//img/flags/small/tn_us-flag.gif,./visualisation/circular_headshots\dylan_windler.png
