player_id,player,team,games_played,min,off_rating,def_rating,season
1630579,Jericho Sims,NYK,45,13.0,109.0,109.7,2023-24
1631257,Jermaine Samuels Jr.,HOU,14,4.3,104.4,114.0,2023-24
1629010,Jerome Robinson,GSW,22,3.7,107.8,95.4,2023-24
1641724,Jett Howard,ORL,18,3.7,95.2,91.9,2023-24
1628975,Jevon Carter,CHI,72,13.9,110.0,108.6,2023-24
202710,Jimmy Butler,MIA,60,34.0,116.0,110.5,2023-24
1629111,Jock Landale,HOU,56,13.6,114.9,105.3,2023-24
203925,Joe Harris,DET,16,10.6,104.9,119.4,2023-24
204060,Joe Ingles,ORL,68,17.2,116.1,110.3,2023-24
203954,Joel Embiid,PHI,39,33.6,119.8,109.5,2023-24
1628381,John Collins,UTA,68,28.0,114.2,121.7,2023-24
1629723,John Konchar,MEM,55,21.3,106.3,112.2,2023-24
1631098,Johnny Davis,WAS,50,12.3,104.9,115.2,2023-24
1630548,Johnny Juzang,UTA,20,18.6,114.3,116.1,2023-24
202685,Jonas Valančiūnas,NOP,82,23.5,117.3,113.4,2023-24
1628371,Jonathan Isaac,ORL,58,15.8,113.0,102.1,2023-24
1630228,Jonathan Kuminga,GSW,74,26.3,115.1,112.2,2023-24
1629007,Jontay Porter,TOR,26,13.8,105.8,115.0,2023-24
203903,Jordan Clarkson,UTA,55,30.6,113.9,119.7,2023-24
1630259,Jordan Ford,SAC,6,3.6,128.9,100.0,2023-24
1630692,Jordan Goodwin,MEM,57,18.5,105.6,109.7,2023-24
1641722,Jordan Hawkins,NOP,67,17.3,113.4,114.3,2023-24
1629162,Jordan McLaughlin,MIN,56,11.2,111.1,100.1,2023-24
1641757,Jordan Miller,LAC,8,3.5,95.2,119.7,2023-24
1629670,Jordan Nwora,TOR,52,13.7,103.1,116.8,2023-24
1629673,Jordan Poole,WAS,78,30.1,108.4,119.5,2023-24
1641775,Jordan Walsh,BOS,9,9.3,120.1,90.2,2023-24
1630631,Jose Alvarado,NOP,56,18.4,117.3,105.2,2023-24
1630581,Josh Giddey,OKC,80,25.1,119.6,111.5,2023-24
1630182,Josh Green,DAL,57,26.4,116.7,118.8,2023-24
1628404,Josh Hart,NYK,81,33.4,117.2,110.6,2023-24
1631169,Josh Minott,MIN,32,2.9,105.5,99.5,2023-24
1629006,Josh Okogie,PHX,60,16.0,112.8,111.5,2023-24
1626196,Josh Richardson,MIA,43,25.6,108.7,113.7,2023-24
1630563,Joshua Primo,LAC,2,5.1,91.7,104.5,2023-24
201950,Jrue Holiday,BOS,69,32.8,120.6,110.9,2023-24
1629308,Juan Toscano-Anderson,SAC,11,4.8,99.1,99.2,2023-24
1631262,Jules Bernard,WAS,19,7.9,111.2,104.9,2023-24
1630577,Julian Champagnie,SAS,74,19.8,109.1,113.5,2023-24
1641763,Julian Phillips,CHI,40,8.1,112.1,111.7,2023-24
1631124,Julian Strawther,DEN,50,10.9,105.6,115.4,2023-24
203944,Julius Randle,NYK,46,35.4,119.7,113.8,2023-24
1630551,Justin Champagnie,WAS,15,15.7,106.4,117.5,2023-24
203200,Justin Holiday,DEN,58,14.9,112.8,109.1,2023-24
1628382,Justin Jackson,MIN,2,0.4,0.0,0.0,2023-24
1631303,Justin Minaya,POR,34,11.2,99.9,108.4,2023-24
203994,Jusuf Nurkić,PHX,76,27.3,120.5,111.3,2023-24
1630231,KJ Martin,PHI,60,12.4,110.7,110.5,2023-24
1629232,Kaiser Gates,NOP,1,7.4,81.3,88.2,2023-24
1626157,Karl-Anthony Towns,MIN,62,32.7,116.3,109.1,2023-24
202695,Kawhi Leonard,LAC,68,34.3,119.3,111.1,2023-24
1631099,Keegan Murray,SAC,77,33.6,116.2,113.4,2023-24
1628966,Keita Bates-Diop,BKN,53,12.5,109.3,113.1,2023-24
1629640,Keldon Johnson,SAS,69,29.5,108.5,116.1,2023-24
203482,Kelly Olynyk,TOR,78,22.5,111.7,119.1,2023-24
1626162,Kelly Oubre Jr.,PHI,68,30.2,114.1,114.0,2023-24
1631112,Kendall Brown,IND,15,4.2,84.3,103.8,2023-24
1631254,Kenneth Lofton Jr.,UTA,21,9.4,109.4,111.2,2023-24
1629026,Kenrich Williams,OKC,69,14.9,115.2,106.7,2023-24
203484,Kentavious Caldwell-Pope,DEN,76,31.6,122.4,111.0,2023-24
1631165,Keon Ellis,SAC,57,17.2,114.4,109.0,2023-24
1630553,Keon Johnson,BKN,5,12.3,114.8,134.4,2023-24
1630556,Kessler Edwards,SAC,54,5.1,98.3,104.6,2023-24
201142,Kevin Durant,PHX,75,37.2,118.1,113.3,2023-24
1628989,Kevin Huerter,SAC,64,24.4,117.5,115.0,2023-24
